YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1974-999.9-999.9-999.9-999.9-999.9  17.3   0.1  16.3  14.6  16.9  15.7   1.9
1975  -2.8  17.1  17.5  11.4  21.4  15.9  18.6  22.2  20.1  21.3  19.7  29.9
1976  16.7  19.0   4.9  10.3   6.1  -5.6  -8.5  -9.7  -5.3  -8.5   3.5 -12.6
1977 -10.4   9.5 -17.6  -0.7   6.2   6.4  -3.3  -0.6  -0.2  -3.5 -11.3 -29.1
1978 -14.5 -14.2-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
1979 -11.4  -9.5  -4.3   5.2   0.6   5.2   7.9   3.5  -1.4 -11.2  -7.4  -8.1
1980   9.0   6.9 -17.0   0.3  -2.6 -10.5  -4.6 -13.7   0.6  -4.8  -5.7   5.1
1981   6.0 -10.8 -14.8 -14.0   8.2   5.7   1.7  14.2  -0.3   2.8   4.1  -2.4
1982  14.7   2.0  -8.6  -0.2   7.0  -3.6 -18.9 -25.7 -21.3 -28.0 -31.6 -14.2
1983 -23.5 -10.2   1.0   5.4 -13.0 -14.8 -16.2  -1.6  -1.8   5.3   3.2  16.8
1984  27.1  29.9  18.7  17.3  10.7   7.0   0.9   3.1   3.9   2.9  -3.2   2.0
1985   2.5  19.4 -11.0  12.5  17.6   7.7   5.3   6.8  -0.3   3.0  -2.2   0.8
1986   2.9  14.8  17.8   6.6   5.6  -3.4  -3.1   2.9 -16.2 -11.7 -23.0 -37.5
1987 -36.0 -35.9 -20.5 -19.7 -29.4 -19.2 -33.6 -24.8 -10.1 -18.3 -10.4 -19.5
1988 -13.8 -11.3   7.0   3.6   8.7  13.6  13.7  17.3  16.5  13.2  18.0  24.4
1989  26.3  26.3  20.4   9.9   6.4  10.1   5.9   7.1   8.3   3.9 -10.0  -2.6
1990 -15.0 -15.1 -22.3 -11.5  -0.4   1.8  -3.1 -10.7 -10.6  -1.7  -7.1  -7.4
1991  -6.9  -9.2  -6.2  -0.4  -0.8  -3.2  -7.2 -16.1 -11.4  -9.1 -39.0 -28.5
1992 -34.2 -20.1 -31.6 -25.5 -28.1 -15.7  -7.0  -3.8  -0.8  -7.8 -17.0 -23.8
1993 -11.3 -25.2 -15.3 -31.9 -23.0 -21.3 -20.2 -10.0 -13.8 -23.7  -1.9 -10.3
1994  -1.3   9.8   4.3  -5.3  -2.2   1.7  -4.6  -9.4 -16.4  -8.7 -22.1 -44.0
1995 -26.3  -9.7  -0.3   3.0   3.3   6.9   6.0  11.3   5.6  14.0  12.9  15.7
1996  26.9  25.5  16.5   6.2   6.5   8.1   7.3   8.3  10.0   7.5   8.3  10.2
1997   7.1   7.6 -15.4 -18.3 -26.4 -14.0 -23.3 -25.8 -21.1 -39.8  -9.0 -22.7
1998 -10.8  -4.7   2.2  16.0  -5.3  -0.8   7.2  10.1  14.3  12.3  16.2  20.2
1999  27.7  19.6  22.8  16.0  11.1   8.4   3.5  10.9  15.5  13.9  11.2  28.2
